Prefacture,Coorddinates
Hokkaido,"43.05125,140.844262"
Hokkaido,"43.759596,142.348509"
Hokkaido,"43.244229,143.546753"
Hokkaido,"41.916775,140.216556"
Hokkaido,"43.533265,145.23697"
Hokkaido,"43.59198,142.46372"
Hokkaido,"43.836455,144.105878"
Hokkaido,"44.021878,143.497131"
Hokkaido,"42.897132,141.585789"
Hokkaido,"42.01782,143.14619"
Hokkaido,"41.755926,140.715684"
Hokkaido,"43.698404,142.507039"
Hokkaido,"43.125781,143.613441"
Hokkaido,"45.040817,141.8612"
Hokkaido,"43.585848,141.423898"
Hokkaido,"43.462246,142.479068"
Hokkaido,"41.808398,140.095409"
Hokkaido,"44.10003,142.35931"
Hokkaido,"41.678024,140.43558"
Hokkaido,"43.75359,143.500587"
Hokkaido,"43.144027,144.14549"
Hokkaido,"43.261316,141.962667"
Hokkaido,"44.334641,143.372211"
Hokkaido,"42.108855,140.572941"
Hokkaido,"42.313837,140.973986"
Hokkaido,"43.554566,144.969609"
Hokkaido,"43.335936,145.598194"
Hokkaido,"42.452786,141.180999"
Hokkaido,"42.918205,143.202563"
Hokkaido,"43.195544,140.998285"
Hokkaido,"43.915555,144.17137"
Hokkaido,"43.875033,142.471699"
Hokkaido,"43.467701,143.742721"
Hokkaido,"42.966156,141.166958"
Hokkaido,"45.329186,142.177267"
Hokkaido,"44.06884,144.99062"
Hokkaido,"44.175974,142.392417"
Hokkaido,"43.082684,142.832927"
Hokkaido,"43.493037,141.907367"
Hokkaido,"44.88452,141.74797"
Hokkaido,"43.177162,141.448523"
Hokkaido,"42.635755,141.61009"
Hokkaido,"42.566111,140.819072"
Hokkaido,"45.103245,141.778643"
Hokkaido,"43.694943,144.029683"
Hokkaido,"43.503206,142.005914"
Hokkaido,"45.417236,141.677095"
Hokkaido,"44.18466,143.594848"
Hokkaido,"43.01186,141.78697"
Aomori,"40.537937,141.558034"
Aomori,"40.458437,141.608335"
Iwate,"40.406101,141.719531"
Iwate,"40.189742,141.765832"
Iwate,"40.082726,141.828678"
Iwate,"40.002821,141.885736"
Iwate,"39.86044,141.796532"
Iwate,"39.916682,141.938688"
Iwate,"39.639471,141.969701"
Iwate,"39.464186,141.951043"
Iwate,"39.357255,141.90316"
Iwate,"39.326865,141.887862"
Iwate,"39.085906,141.710256"
Iwate,"39.01675,141.628694"
Iwate,"39.142287,141.574456"
Iwate,"39.392034,141.11169"
Iwate,"39.330638,141.528872"
Iwate,"38.98958,141.25527"
Iwate,"40.320335,141.318849"
Iwate,"39.87958,141.099388"
Iwate,"39.734,141.07829"
Iwate,"39.968579,141.213736"
Iwate,"39.554641,141.158293"
Iwate,"39.31446,140.77649"
Iwate,"38.986635,141.108167"
Iwate,"40.322649,141.381779"
Iwate,"40.24854,141.416759"
Iwate,"40.20885,141.30468"
Iwate,"40.225538,141.781703"
Iwate,"39.281115,141.122747"
Iwate,"39.846667,141.173111"
Iwate,"39.27362,141.1282"
Iwate,"39.984472,141.339917"
Iwate,"39.613529,141.149818"
Iwate,"39.706964,140.874287"
Iwate,"39.200006,141.112971"
Iwate,"39.138288,141.137353"
Iwate,"39.694005,141.128421"
Miyagi,"38.905694,141.574667"
Miyagi,"38.717061,141.52115"
Miyagi,"38.445695,141.44623"
Miyagi,"38.433844,141.303041"
Miyagi,"38.379414,141.15671"
Miyagi,"38.368987,141.061207"
Miyagi,"38.318226,141.023075"
Miyagi,"38.329512,140.975248"
Miyagi,"38.304315,141.083342"
Miyagi,"38.291943,141.007158"
Miyagi,"38.258587,140.872666"
Miyagi,"38.17213,140.954044"
Miyagi,"38.105296,140.866325"
Miyagi,"38.04217,140.915724"
Miyagi,"37.923988,140.900996"
Miyagi,"38.002511,140.61735"
Miyagi,"37.968694,140.807077"
Miyagi,"38.616649,141.235491"
Miyagi,"38.794479,140.844403"
Miyagi,"38.571356,140.967465"
Miyagi,"38.398336,140.8875"
Miyagi,"38.123663,140.577192"
Miyagi,"37.982523,140.46662"
Miyagi,"38.048503,140.738089"
Miyagi,"38.119071,140.717821"
Miyagi,"38.059143,140.768239"
Miyagi,"38.177534,140.643653"
Miyagi,"37.913873,140.762531"
Miyagi,"38.437364,140.885648"
Miyagi,"38.424016,140.992673"
Miyagi,"38.469438,140.890229"
Miyagi,"38.530136,140.86142"
Miyagi,"38.57215,140.72859"
Miyagi,"38.53927,141.126743"
Miyagi,"38.489061,141.133053"
Miyagi,"38.311641,140.983236"
Miyagi,"38.182602,140.956528"
Akita,"39.752642,140.061295"
Akita,"39.293561,140.545941"
Akita,"39.88201,139.84772"
Akita,"40.181213,140.785474"
Akita,"39.699992,140.662631"
Fukushima,"37.878748,140.925027"
Fukushima,"37.827708,140.963244"
Fukushima,"37.63577,140.983041"
Fukushima,"37.496395,141.000919"
Fukushima,"37.250144,140.997579"
Fukushima,"37.107308,140.993274"
Fukushima,"37.667671,140.57675"
Fukushima,"37.344423,140.674289"
Fukushima,"37.329458,140.82162"
Fukushima,"37.80441,140.41091"
Fukushima,"37.461101,139.927475"
Fukushima,"37.396784,140.35612"
Fukushima,"37.20572,139.777874"
Fukushima,"37.528189,139.722662"
Fukushima,"37.325573,139.630359"
Fukushima,"37.45745,141.02692"
Fukushima,"37.698145,140.735552"
Fukushima,"37.593347,140.464001"
Fukushima,"37.760799,140.691402"
Fukushima,"37.656148,140.089446"
Fukushima,"37.53809,140.107546"
Fukushima,"37.455169,139.840297"
Fukushima,"37.1399,140.15467"
Fukushima,"37.21842,140.335635"
Fukushima,"37.093175,140.529749"
Fukushima,"37.4433,140.49124"
Fukushima,"37.56046,139.821186"
Fukushima,"37.251117,140.347153"
Fukushima,"37.029237,140.387151"
Fukushima,"37.55742,139.862167"
Fukushima,"37.872639,140.546861"
Fukushima,"37.23297,141.0018"
Fukushima,"37.262128,140.547538"
Fukushima,"37.1296,140.212974"
Fukushima,"37.291536,140.382947"
Fukushima,"37.040242,140.50677"
Fukushima,"37.157384,140.314605"
Fukushima,"37.585568,139.642677"
Fukushima,"37.409958,140.983206"
Fukushima,"37.279216,140.633912"
Fukushima,"37.080294,140.4146"
Fukushima,"37.203534,139.916146"
Fukushima,"37.243406,140.243722"
Yamagata,"38.248477,140.325854"
Yamagata,"38.363842,140.26637"
Yamagata,"38.611083,140.169653"
Yamagata,"38.072713,139.73128"
Yamagata,"38.721151,139.684635"
Tochigi,"36.56044,139.908695"
Tochigi,"36.634218,139.83098"
Tochigi,"36.572194,139.887334"
Saitama,"35.797482,139.505528"
Saitama,"35.786887,139.472881"
Saitama,"35.798734,139.471991"
Chiba,"35.894417,140.493902"
Chiba,"35.888376,140.497568"
Chiba,"35.928206,140.523401"
